id,target_name
FIGj260063,V889Her
FIGj260064,V889Her
FIGj260065,V889Her
FIGj260066,V383Lac
FIGj260067,V383Lac
FIGj260068,V383Lac
FIGj260069,V453And
FIGj260070,V453And
FIGj260071,V453And
FIGj260072,BECet
FIGj260073,BECet
FIGj260074,BECet
FIGj260075,BECet
FIGj260076,BECet
FIGj260077,BECet
FIGj260078,HNPeg
FIGj260079,HNPeg
FIGj260080,HNPeg
FIGj260081,EXCet
FIGj260082,EXCet
FIGj260083,EXCet
FIGj260087,V774Tau
FIGj260088,V774Tau
FIGj260089,V774Tau
FIGj260090,V834Tau
FIGj260091,V834Tau
FIGj260092,V834Tau
